,Date,Total Responden,Total Rating,CSAT [After]
0,2024-03-01,50.0,184.0,3.68
1,2024-03-02,42.0,154.0,3.67
2,2024-03-03,38.0,150.0,3.95
3,2024-03-04,37.0,147.0,3.97
4,2024-03-05,51.0,186.0,3.65
5,2024-03-06,40.0,147.0,3.68
6,2024-03-07,44.0,176.0,4.0
7,2024-03-08,38.0,152.0,4.0
8,2024-03-09,44.0,185.0,4.2
9,2024-03-10,39.0,152.0,3.9
10,2024-03-11,43.0,143.0,3.33
11,2024-03-12,41.0,142.0,3.46
12,2024-03-13,40.0,143.0,3.58
13,2024-03-14,42.0,162.0,3.86
14,2024-03-15,40.0,131.0,3.28
15,2024-03-16,35.0,121.0,3.46
16,2024-03-17,37.0,144.0,3.89
17,2024-03-18,49.0,169.0,3.45
18,2024-03-19,39.0,143.0,3.67
19,2024-03-20,47.0,174.0,3.7
20,2024-03-21,45.0,165.0,3.67
21,2024-03-22,41.0,160.0,3.9
22,2024-03-23,43.0,164.0,3.81
23,2024-03-24,30.0,121.0,4.03
24,2024-03-25,45.0,176.0,3.91
25,2024-03-26,30.0,124.0,4.13
26,2024-03-27,49.0,170.0,3.47
27,2024-03-28,48.0,213.0,4.44
28,2024-03-29,44.0,163.0,3.7
29,2024-03-30,39.0,143.0,3.67
30,2024-03-31,30.0,115.0,3.83
31,2024-04-01,43.0,157.0,3.65
32,2024-04-02,54.0,206.0,3.81
33,2024-04-03,48.0,183.0,3.81
34,2024-04-04,45.0,169.0,3.76
35,2024-04-05,49.0,182.0,3.71
36,2024-04-06,42.0,148.0,3.52
37,2024-04-07,35.0,146.0,4.17
38,2024-04-08,34.0,125.0,3.68
39,2024-04-09,30.0,109.0,3.63
40,2024-04-10,28.0,112.0,4.0
41,2024-04-11,23.0,95.0,4.13
42,2024-04-12,24.0,101.0,4.21
43,2024-04-13,31.0,117.0,3.77
44,2024-04-14,24.0,100.0,4.17
45,2024-04-15,21.0,81.0,3.86
46,2024-04-16,32.0,122.0,3.81
47,2024-04-17,32.0,129.0,4.03
48,2024-04-18,30.0,125.0,4.17
49,2024-04-19,30.0,104.0,3.47
50,2024-04-20,33.0,129.0,3.91
51,2024-04-21,20.0,73.0,3.65
52,2024-04-22,23.0,101.0,4.39
53,2024-04-23,29.0,103.0,3.55
54,2024-04-24,32.0,133.0,4.16
55,2024-04-25,30.0,105.0,3.5
56,2024-04-26,52.0,177.0,3.4
57,2024-04-27,26.0,99.0,3.81
58,2024-04-28,26.0,109.0,4.19
59,2024-04-29,42.0,172.0,4.1
60,2024-04-30,53.0,194.0,3.66
61,2024-05-01,69.0,249.0,3.61
62,2024-05-02,54.0,211.0,3.91
63,2024-05-03,49.0,188.0,3.84
64,2024-05-04,39.0,153.0,3.92
65,2024-05-05,48.0,185.0,3.85
66,2024-05-06,47.0,207.0,4.4
67,2024-05-07,39.0,150.0,3.85
68,2024-05-08,55.0,191.0,3.47
69,2024-05-09,38.0,146.0,3.84
70,2024-05-10,36.0,130.0,3.61
71,2024-05-11,41.0,165.0,4.02
72,2024-05-12,23.0,97.0,4.22
73,2024-05-13,37.0,143.0,3.86
74,2024-05-14,41.0,158.0,3.85
75,2024-05-15,35.0,152.0,4.34
76,2024-05-16,34.0,133.0,3.91
77,2024-05-17,45.0,155.0,3.44
78,2024-05-18,23.0,78.0,3.39
79,2024-05-19,37.0,137.0,3.7
80,2024-05-20,39.0,152.0,3.9
81,2024-05-21,42.0,174.0,4.14
82,2024-05-22,41.0,165.0,4.02
83,2024-05-23,49.0,196.0,4.0
84,2024-05-24,30.0,129.0,4.3
85,2024-05-25,42.0,179.0,4.26
86,2024-05-26,36.0,157.0,4.36
87,2024-05-27,37.0,132.0,3.57
88,2024-05-28,38.0,149.0,3.92
89,2024-05-29,41.166666666666664,161.5,3.91
90,2024-05-30,34.0,124.0,3.65
91,2024-05-31,48.0,184.0,3.83
92,2024-06-01,54.0,223.0,4.13
93,2024-06-02,47.0,202.0,4.3
94,2024-06-03,38.0,126.0,3.32
95,2024-06-04,39.0,165.0,4.23
96,2024-06-05,57.0,241.0,4.23
97,2024-06-06,50.0,197.0,3.94
98,2024-06-07,54.0,209.0,3.87
99,2024-06-08,56.0,240.0,4.29
100,2024-06-09,39.0,170.0,4.36
101,2024-06-10,54.0,217.0,4.02
102,2024-06-11,48.0,192.0,4.0
103,2024-06-12,32.0,116.0,3.63
104,2024-06-13,49.0,189.0,3.86
105,2024-06-14,45.0,185.0,4.11
106,2024-06-15,45.0,204.0,4.53
107,2024-06-16,46.0,206.0,4.48
108,2024-06-17,22.0,96.0,4.36
109,2024-06-18,46.0,194.0,4.22
110,2024-06-19,61.0,253.0,4.15
111,2024-06-20,35.0,151.0,4.31
112,2024-06-21,19.0,67.0,3.53
113,2024-06-22,23.0,87.0,3.78
114,2024-06-23,23.0,95.0,4.13
115,2024-06-24,28.0,106.0,3.79
116,2024-06-25,57.0,223.0,3.91
117,2024-06-26,52.0,206.0,3.96
118,2024-06-27,39.0,172.0,4.41
119,2024-06-28,39.0,157.0,4.03
120,2024-06-29,49.0,197.0,4.02
121,2024-06-30,42.0,182.0,4.33
122,2024-07-01,46.0,162.0,3.52
123,2024-07-02,59.0,234.0,3.97
124,2024-07-03,40.0,155.0,3.88
125,2024-07-04,35.0,137.0,3.91
126,2024-07-05,52.0,211.0,4.06
127,2024-07-06,36.0,168.0,4.67
128,2024-07-07,39.0,168.0,4.31
129,2024-07-08,52.0,223.0,4.29
130,2024-07-09,25.0,101.0,4.04
131,2024-07-10,29.0,123.0,4.24
132,2024-07-11,38.0,131.0,3.45
133,2024-07-12,27.0,108.0,4.0
134,2024-07-13,25.0,72.0,2.88
135,2024-07-14,25.0,93.0,3.72
136,2024-07-15,29.0,110.0,3.79
137,2024-07-16,44.0,169.0,3.84
138,2024-07-17,33.0,127.0,3.85
139,2024-07-18,29.0,111.0,3.83
140,2024-07-19,31.0,117.0,3.77
141,2024-07-20,25.0,87.0,3.48
142,2024-07-21,33.0,124.0,3.76
143,2024-07-22,35.0,131.0,3.74
144,2024-07-23,27.0,111.0,4.11
145,2024-07-24,33.0,118.0,3.58
146,2024-07-25,31.0,124.0,4.0
147,2024-07-26,28.0,116.0,4.14
148,2024-07-27,21.0,82.0,3.9
149,2024-07-28,23.0,81.0,3.52
150,2024-07-29,25.0,93.0,3.72
151,2024-07-30,33.0,128.0,3.88
152,2024-07-31,27.0,96.0,3.56
153,2024-08-01,47.0,174.0,3.7
154,2024-08-02,27.0,111.0,4.11
155,2024-08-03,26.0,103.0,3.96
156,2024-08-04,25.0,109.0,4.36
157,2024-08-05,30.0,129.0,4.3
158,2024-08-06,38.0,114.0,3.0
159,2024-08-07,26.0,109.0,4.19
160,2024-08-08,24.0,79.0,3.29
161,2024-08-09,25.0,81.0,3.24
162,2024-08-10,35.0,127.0,3.63
163,2024-08-11,25.0,100.0,4.0
164,2024-08-12,28.0,105.0,3.75
165,2024-08-13,31.0,119.0,3.84
166,2024-08-14,26.0,79.0,3.04
167,2024-08-15,26.0,99.0,3.81
168,2024-08-16,27.0,111.0,4.11
169,2024-08-17,19.0,74.0,3.89
170,2024-08-18,19.0,69.0,3.63
171,2024-08-19,24.0,88.0,3.67
172,2024-08-20,23.0,90.0,3.91
173,2024-08-21,32.0,124.0,3.88
174,2024-08-22,28.0,106.0,3.79
175,2024-08-23,24.0,83.0,3.46
176,2024-08-24,23.0,93.0,4.04
177,2024-08-25,21.0,96.0,4.57
178,2024-08-26,47.0,188.0,4.0
179,2024-08-27,59.0,206.0,3.49
180,2024-08-28,68.0,215.0,3.16
181,2024-08-29,41.0,166.0,4.05
182,2024-08-30,28.0,105.0,3.75
183,2024-08-31,37.0,132.0,3.57
184,2024-09-01,33.0,131.0,3.97
185,2024-09-02,30.0,119.0,3.97
186,2024-09-03,37.0,134.0,3.62
187,2024-09-04,48.0,193.0,4.02
188,2024-09-05,43.0,162.0,3.77
189,2024-09-06,36.0,142.0,3.94
190,2024-09-07,35.0,135.0,3.86
191,2024-09-08,22.0,86.0,3.91
192,2024-09-09,31.0,126.0,4.06
193,2024-09-10,32.0,108.0,3.38
194,2024-09-11,22.0,87.0,3.95
195,2024-09-12,17.0,52.0,3.06
196,2024-09-13,41.0,153.0,3.73
197,2024-09-14,37.0,141.0,3.81
198,2024-09-15,31.0,121.0,3.9
199,2024-09-16,31.0,130.0,4.19
200,2024-09-17,28.0,112.0,4.0
201,2024-09-18,37.0,163.0,4.41
202,2024-09-19,21.0,81.0,3.86
203,2024-09-20,29.0,117.0,4.03
204,2024-09-21,23.0,95.0,4.13
205,2024-09-22,20.0,90.0,4.5
206,2024-09-23,21.0,77.0,3.67
207,2024-09-24,30.0,122.0,4.07
208,2024-09-25,36.0,149.0,4.14
209,2024-09-26,31.0,118.0,3.81
210,2024-09-27,30.0,114.0,3.8
211,2024-09-28,24.0,103.0,4.29
212,2024-09-29,29.0,128.0,4.41
213,2024-09-30,27.0,108.0,4.0
214,2024-10-01,60.0,243.0,4.05
215,2024-10-02,31.0,130.0,4.19
216,2024-10-03,29.0,108.0,3.72
217,2024-10-04,32.0,133.0,4.16
218,2024-10-05,32.0,128.0,4.0
219,2024-10-06,20.0,84.0,4.2
220,2024-10-07,26.0,110.0,4.23
221,2024-10-08,27.0,111.0,4.11
222,2024-10-09,33.0,128.0,3.88
223,2024-10-10,33.0,139.0,4.21
224,2024-10-11,27.0,110.0,4.07
225,2024-10-12,27.0,107.0,3.96
226,2024-10-13,15.0,65.0,4.33
227,2024-10-14,19.0,76.0,4.0
228,2024-10-15,36.0,142.0,3.94
229,2024-10-16,22.0,72.0,3.27
230,2024-10-17,29.0,104.0,3.59
231,2024-10-18,21.0,83.0,3.95
232,2024-10-19,28.0,125.0,4.46
233,2024-10-20,27.0,104.0,3.85
234,2024-10-21,24.0,99.0,4.13
235,2024-10-22,31.0,111.0,3.58
236,2024-10-23,31.0,124.0,4.0
237,2024-10-24,24.0,101.0,4.21
238,2024-10-25,28.0,112.0,4.0
239,2024-10-26,28.0,119.0,4.25
240,2024-10-27,30.0,131.0,4.37
241,2024-10-28,32.0,108.0,3.38
242,2024-10-29,30.0,133.0,4.43
243,2024-10-30,30.0,121.0,4.03
244,2024-10-31,30.0,120.0,4.0
245,2024-11-01,34.0,139.0,4.09
246,2024-11-02,22.0,91.0,4.14
247,2024-11-03,38.0,147.0,3.87
248,2024-11-04,44.0,176.0,4.0
249,2024-11-05,43.0,176.0,4.09
250,2024-11-06,39.0,160.0,4.1
251,2024-11-07,24.0,95.0,3.96
252,2024-11-08,36.0,148.0,4.11
253,2024-11-09,30.0,126.0,4.2
254,2024-11-10,33.0,127.0,3.85
255,2024-11-11,27.0,96.0,3.56
256,2024-11-12,24.0,94.0,3.92
257,2024-11-13,29.0,124.0,4.28
258,2024-11-14,21.0,85.0,4.05
259,2024-11-15,29.0,126.0,4.34
260,2024-11-16,24.0,113.0,4.71
261,2024-11-17,22.0,99.0,4.5
262,2024-11-18,28.0,102.0,3.64
263,2024-11-19,32.0,121.0,4.24
264,2024-11-20,36.0,139.0,3.86
265,2024-11-21,31.0,129.0,4.16
266,2024-11-22,21.0,82.0,3.9
267,2024-11-23,21.0,79.0,3.76
268,2024-11-24,28.0,116.0,4.14
269,2024-11-25,22.0,91.0,4.14
270,2024-11-26,27.0,123.0,4.56
271,2024-11-27,20.0,86.0,4.3
272,2024-11-28,27.0,103.0,3.81
273,2024-11-29,32.0,110.0,3.44
274,2024-11-30,17.0,66.0,3.88
275,2024-12-01,21.0,93.0,4.43
276,2024-12-02,58.0,247.0,4.07
277,2024-12-03,41.0,173.0,3.99
278,2024-12-04,23.0,97.0,3.94
279,2024-12-05,32.0,118.0,3.96
280,2024-12-06,29.0,124.0,4.28
281,2024-12-07,24.0,104.0,4.33
282,2024-12-08,35.0,135.0,3.86
283,2024-12-09,16.0,62.0,3.88
284,2024-12-10,28.0,100.0,3.57
285,2024-12-11,38.0,152.0,4.0
286,2024-12-12,32.0,126.0,3.94
287,2024-12-13,23.0,101.0,4.39
288,2024-12-14,16.0,62.0,3.88
289,2024-12-15,24.0,87.0,3.63
290,2024-12-16,33.0,134.0,4.06
291,2024-12-17,23.0,91.0,3.96
292,2024-12-18,30.0,126.0,4.2
293,2024-12-19,30.0,121.0,4.03
294,2024-12-20,23.0,107.0,4.65
295,2024-12-21,33.0,126.0,3.82
296,2024-12-22,21.0,83.0,3.95
297,2024-12-23,39.0,154.0,3.95
298,2024-12-24,35.0,137.0,3.91
299,2024-12-25,34.0,135.0,3.97
300,2024-12-26,30.0,119.0,3.97
301,2024-12-27,29.0,111.0,3.83
302,2024-12-28,25.0,103.0,4.12
303,2024-12-29,34.0,127.0,3.74
304,2024-12-30,22.0,83.0,3.77
305,2024-12-31,35.0,142.0,4.06
306,2025-01-01,47.0,174.0,3.7
307,2025-01-02,36.0,147.0,4.08
308,2025-01-03,47.0,191.0,4.06
309,2025-01-04,38.0,150.0,3.95
310,2025-01-05,31.0,109.0,3.52
311,2025-01-06,49.0,188.0,3.84
312,2025-01-07,71.0,272.0,3.83
313,2025-01-08,101.0,391.0,3.87
314,2025-01-09,84.0,328.0,3.9
315,2025-01-10,55.0,223.0,4.05
316,2025-01-11,31.0,125.0,4.03
317,2025-01-12,40.0,163.0,4.08
318,2025-01-13,47.0,182.0,3.87
319,2025-01-14,29.0,117.0,4.03
320,2025-01-15,33.0,130.0,3.94
321,2025-01-16,31.0,126.0,4.06
322,2025-01-17,22.0,87.0,3.95
323,2025-01-18,20.0,81.0,4.05
324,2025-01-19,18.0,84.0,4.67
325,2025-01-20,23.0,90.0,3.91
326,2025-01-21,24.0,101.0,4.21
327,2025-01-22,30.0,122.0,4.07
328,2025-01-23,18.0,67.0,3.72
329,2025-01-24,25.0,92.0,3.68
330,2025-01-25,29.0,111.0,3.83
331,2025-01-26,22.0,82.0,3.73
332,2025-01-27,24.0,95.0,3.96
333,2025-01-28,21.0,74.0,3.52
334,2025-01-29,23.0,96.0,4.17
335,2025-01-30,28.0,108.0,3.86
336,2025-01-31,35.0,138.0,3.94
337,2025-02-01,36.0,142.0,3.94
338,2025-02-02,29.0,124.0,4.28
339,2025-02-03,35.0,145.0,4.14
340,2025-02-04,47.0,175.0,3.72
341,2025-02-05,37.0,159.0,4.3
342,2025-02-06,32.0,127.0,3.97
343,2025-02-07,31.0,118.0,3.81
344,2025-02-08,19.0,70.0,3.68
345,2025-02-09,26.0,98.0,3.77
346,2025-02-10,21.0,65.0,3.1
347,2025-02-11,39.0,157.0,4.03
348,2025-02-12,25.0,98.0,3.92
349,2025-02-13,34.0,141.0,4.15
350,2025-02-14,26.0,105.0,4.04
351,2025-02-15,17.0,57.0,3.35
352,2025-02-16,20.0,71.0,3.55
353,2025-02-17,25.0,107.0,4.28
354,2025-02-18,18.0,76.0,4.22
355,2025-02-19,25.0,88.0,3.52
356,2025-02-20,18.0,52.0,2.89
357,2025-02-21,17.0,71.0,4.18
358,2025-02-22,28.0,117.0,4.18
359,2025-02-23,18.0,66.0,3.67
360,2025-02-24,23.0,92.0,4.0
361,2025-02-25,31.0,117.0,3.77
362,2025-02-26,26.0,113.0,4.35
363,2025-02-27,25.0,95.0,3.8
364,2025-02-28,29.0,99.0,3.41
365,2025-03-01,24.0,100.0,4.17
366,2025-03-02,23.0,89.0,3.87
367,2025-03-03,30.0,102.0,3.4
368,2025-03-04,40.0,145.0,3.63
369,2025-03-05,32.0,122.0,3.81
370,2025-03-06,16.0,52.0,3.25
371,2025-03-07,16.0,65.0,4.06
372,2025-03-08,18.0,72.0,4.0
373,2025-03-09,18.0,75.0,4.17
374,2025-03-10,31.0,118.0,3.81
375,2025-03-11,44.0,162.0,3.68
376,2025-03-12,71.0,212.0,2.99
377,2025-03-13,20.0,80.0,4.0
378,2025-03-14,20.0,80.0,4.0
379,2025-03-15,29.0,120.0,4.14
380,2025-03-16,16.0,59.0,3.69
381,2025-03-17,21.0,74.0,3.52
382,2025-03-18,15.0,51.0,3.4
383,2025-03-19,26.0,94.0,3.62
384,2025-03-20,51.0,147.0,2.88
385,2025-03-21,86.0,284.0,3.3
386,2025-03-22,18.0,75.0,4.17
387,2025-03-23,16.0,64.0,4.0
388,2025-03-24,18.0,74.0,4.11
389,2025-03-25,23.0,86.0,3.74
390,2025-03-26,31.0,104.0,3.35
391,2025-03-27,29.0,116.0,4.0
392,2025-03-28,36.0,142.0,3.94
393,2025-03-29,17.0,68.0,4.0
394,2025-03-30,17.0,61.0,3.59
395,2025-03-31,14.0,55.0,3.93
396,2025-04-01,16.0,57.0,3.56
397,2025-04-02,20.0,67.0,3.35
398,2025-04-03,11.0,35.0,3.18
399,2025-04-04,19.0,75.0,3.95
400,2025-04-05,17.0,74.0,4.35
401,2025-04-06,29.0,117.0,4.03
402,2025-04-07,27.0,102.0,3.78
403,2025-04-08,22.0,92.0,4.18
404,2025-04-09,17.0,50.0,2.94
405,2025-04-10,21.0,77.0,3.67
406,2025-04-11,24.0,94.0,3.92
407,2025-04-12,22.0,86.0,3.91
408,2025-04-13,23.0,83.0,3.61
409,2025-04-14,19.0,87.0,4.58
410,2025-04-15,17.0,74.0,4.35
411,2025-04-16,20.0,78.0,3.9
412,2025-04-17,15.0,63.0,4.2
413,2025-04-18,20.0,76.0,3.8
414,2025-04-19,17.0,70.0,4.12
415,2025-04-20,22.0,83.0,3.77
416,2025-04-21,18.0,75.0,4.17
417,2025-04-22,19.0,79.0,4.16
418,2025-04-23,27.0,112.0,4.15
419,2025-04-24,18.0,73.0,4.06
420,2025-04-25,18.0,63.0,3.5
421,2025-04-26,21.0,67.0,3.19
422,2025-04-27,15.0,63.0,4.2
423,2025-04-28,32.0,131.0,4.09
424,2025-04-29,18.0,77.0,4.28
425,2025-04-30,27.0,119.0,4.41
426,2025-05-01,32.0,122.0,3.81
427,2025-05-02,29.0,112.0,3.86
428,2025-05-03,22.0,89.0,4.05
429,2025-05-04,14.0,61.0,4.36
430,2025-05-15,22.833333333333332,90.83333333333333,4.025
431,2025-05-16,15.0,66.0,4.4
432,2025-05-17,22.0,76.0,3.45
433,2025-05-18,35.0,141.0,4.03
434,2025-05-19,34.0,151.0,4.44
435,2025-05-20,26.0,105.0,4.04
436,2025-05-21,29.0,110.0,3.79
437,2025-05-22,21.0,86.0,4.1
438,2025-05-23,26.0,90.0,3.46
439,2025-05-24,18.0,61.0,3.39
440,2025-05-25,15.0,51.0,3.4
441,2025-05-26,47.0,199.0,4.23
442,2025-05-27,31.0,137.0,4.42
443,2025-05-28,27.0,106.0,3.93
444,2025-05-29,19.0,79.0,4.16
445,2025-05-30,27.0,100.0,3.7
446,2025-05-31,23.0,78.0,3.39
447,2025-06-01,30.0,125.0,4.17
448,2025-06-02,43.0,180.0,4.19
449,2025-06-03,49.0,203.0,4.14
450,2025-06-04,49.0,195.0,3.98
451,2025-06-05,30.0,111.0,3.7
452,2025-06-06,19.0,77.0,4.05
453,2025-06-07,21.0,74.0,3.52
454,2025-06-08,26.0,113.0,4.35
455,2025-06-09,29.0,123.0,4.24
456,2025-06-10,37.0,151.0,4.08
457,2025-06-11,30.0,127.0,4.23
458,2025-06-12,26.0,112.0,4.31
459,2025-06-13,29.0,98.0,3.38
460,2025-06-14,26.0,104.0,4.0
461,2025-06-15,30.0,113.0,3.77
462,2025-06-16,24.0,99.0,4.13
463,2025-06-17,19.0,64.0,3.37
464,2025-06-18,20.0,89.0,4.45
465,2025-06-19,21.0,83.0,3.95
466,2025-06-20,25.0,101.0,4.04
467,2025-06-21,17.0,64.0,3.76
468,2025-06-22,27.0,96.0,3.56
469,2025-06-23,43.0,186.0,4.33
470,2025-06-24,18.0,65.0,3.61
471,2025-06-25,48.0,197.0,4.1
472,2025-06-26,22.0,79.0,3.59
473,2025-06-27,31.0,109.0,3.52
474,2025-06-28,21.0,84.0,4.0
475,2025-06-29,23.0,93.0,4.04
476,2025-06-30,44.0,182.0,4.14
477,2025-07-01,49.0,170.0,3.47
478,2025-07-02,37.0,121.0,3.27
479,2025-07-03,35.0,127.0,3.63
480,2025-07-04,28.0,108.0,3.86
481,2025-07-05,59.0,163.0,2.76
482,2025-07-06,41.0,118.0,2.88
483,2025-07-07,30.0,109.0,3.63
484,2025-07-08,41.0,150.0,3.66
485,2025-07-09,30.0,112.0,3.73
486,2025-07-10,17.0,66.0,3.88
487,2025-07-11,37.0,137.0,3.7
488,2025-07-12,32.0,131.0,4.09
489,2025-07-13,37.0,147.0,3.97
490,2025-07-14,35.0,122.0,3.49
491,2025-07-15,24.0,81.0,3.38
492,2025-07-16,36.0,153.0,4.25
493,2025-07-17,16.0,55.0,3.44
494,2025-07-18,28.0,109.0,3.89
495,2025-07-19,25.0,83.0,3.32
496,2025-07-20,30.0,114.0,3.8
497,2025-07-21,33.0,130.0,3.94
498,2025-07-22,12.0,38.0,3.17
499,2025-07-23,19.0,65.0,3.42
500,2025-07-24,32.0,119.0,3.72
501,2025-07-25,38.0,127.0,3.34
502,2025-07-26,31.0,88.0,2.84
503,2025-07-27,28.0,105.0,3.75
504,2025-07-28,25.0,99.0,3.96
505,2025-07-29,34.0,130.0,3.82
506,2025-07-30,23.0,79.0,3.43
507,2025-07-31,35.0,129.0,3.69
508,2025-08-01,28.0,109.0,3.89
509,2025-08-02,32.0,101.0,3.16
510,2025-08-03,24.0,82.0,3.42
511,2025-08-04,29.0,99.0,3.41
512,2025-08-05,36.0,144.0,4.0
513,2025-08-06,30.0,122.0,4.07
514,2025-08-07,28.0,98.0,3.5
515,2025-08-08,15.0,59.0,3.93
516,2025-08-09,18.0,75.0,4.17
517,2025-08-10,23.0,95.0,4.13
518,2025-08-11,32.0,124.0,3.88
519,2025-08-12,31.0,102.0,3.29
520,2025-08-13,22.0,85.0,3.86
521,2025-08-14,28.0,107.0,3.82
522,2025-08-15,28.0,94.0,3.36
523,2025-08-16,24.0,78.0,3.25
524,2025-08-17,19.0,74.0,3.89
525,2025-08-18,22.0,81.0,3.68
526,2025-08-19,23.0,88.0,3.83
527,2025-08-20,25.0,89.0,3.56
528,2025-08-21,17.0,65.0,3.82
529,2025-08-22,33.0,121.0,3.67
530,2025-08-23,22.0,83.0,3.77
531,2025-08-24,23.0,93.0,4.04
532,2025-08-25,25.0,107.0,4.28
533,2025-08-26,32.0,112.0,3.5
534,2025-08-27,19.0,75.0,3.95
535,2025-08-28,22.0,69.0,3.14
536,2025-08-29,28.0,99.0,3.54
537,2025-08-30,17.0,65.0,3.82
538,2025-08-31,22.0,87.0,3.95
539,2025-09-01,22.0,83.0,3.77
540,2025-09-02,24.0,89.0,3.71
541,2025-09-03,26.0,105.0,4.04
542,2025-09-04,26.0,93.0,3.58
543,2025-09-05,24.0,92.0,3.83
544,2025-09-06,24.0,82.0,3.42
545,2025-09-07,35.0,129.0,3.69
546,2025-09-08,22.0,84.0,3.82
547,2025-09-09,24.0,90.0,3.75
548,2025-09-10,16.0,63.0,3.94
549,2025-09-11,44.0,157.0,3.57
550,2025-09-12,17.0,53.0,3.12
551,2025-09-13,17.0,59.0,3.47
552,2025-09-14,17.0,77.0,4.53
553,2025-09-15,35.0,133.0,3.8
554,2025-09-16,19.0,85.0,4.47
555,2025-09-17,25.0,95.0,3.8
556,2025-09-18,21.0,74.0,3.52
557,2025-09-19,15.0,57.0,3.8
558,2025-09-20,20.0,77.0,3.85
559,2025-09-21,23.0,90.0,3.91
560,2025-09-22,32.0,112.0,3.5
561,2025-09-23,23.0,85.0,3.7
562,2025-09-24,25.0,85.0,3.4
563,2025-09-25,36.0,127.0,3.4
564,2025-09-26,23.0,91.0,3.96
565,2025-09-27,19.0,77.0,4.05
566,2025-09-28,22.0,78.0,3.55
567,2025-09-29,23.0,69.0,3.0
568,2025-09-30,28.0,97.0,3.46
569,2025-10-01,31.0,100.0,3.23
570,2025-10-02,30.0,98.0,3.27
571,2025-10-03,28.0,99.0,3.54
572,2025-10-04,23.0,90.0,3.91
573,2025-10-05,17.0,59.0,3.47
574,2025-10-06,29.0,112.0,3.86
575,2025-10-07,18.0,70.0,3.89
576,2025-10-08,26.0,93.0,3.58
577,2025-10-09,17.0,61.0,3.59
578,2025-10-10,20.0,78.0,3.9
579,2025-10-11,20.0,74.0,3.7
580,2025-10-12,22.0,86.0,3.91
581,2025-10-13,22.0,83.0,3.77
582,2025-10-14,22.0,87.0,3.95
583,2025-10-15,26.0,97.0,3.73
584,2025-10-16,21.0,92.0,4.38
585,2025-10-17,17.0,69.0,4.06
586,2025-10-18,13.0,60.0,4.62
587,2025-10-19,22.0,69.0,3.14
588,2025-10-20,26.0,104.0,4.0
589,2025-10-21,22.0,95.0,4.32
590,2025-10-22,28.0,111.0,3.96
591,2025-10-23,28.0,103.0,3.68
592,2025-10-24,20.0,75.0,3.75
593,2025-10-25,17.0,66.0,3.88
594,2025-10-26,25.0,101.0,4.04
595,2025-10-27,22.0,98.0,4.45
596,2025-10-28,35.0,144.0,4.11
597,2025-10-29,19.0,73.0,3.84
598,2025-10-30,19.0,79.0,4.16
599,2025-10-31,20.0,87.0,4.35
600,2025-11-01,33.0,132.0,4.0
601,2025-11-02,27.0,109.0,4.04
602,2025-11-03,16.0,67.0,4.19
603,2025-11-04,28.0,86.0,3.07
604,2025-11-05,21.0,77.0,3.67
605,2025-11-06,25.0,92.0,3.68
606,2025-11-07,31.0,133.0,4.29
607,2025-11-08,22.0,87.0,3.95
608,2025-11-09,15.0,48.0,3.2
609,2025-11-10,28.0,90.0,3.21
610,2025-11-11,21.0,88.0,4.19
611,2025-11-12,18.0,67.0,3.72
612,2025-11-13,19.0,69.0,3.63
613,2025-11-14,22.0,77.0,3.5
614,2025-11-15,13.0,41.0,3.15
