,Date,Total Responden,Total Rating,CSAT [Before]
0,2024-03-01,59,196,3.32
1,2024-03-02,49,162,3.31
2,2024-03-03,40,152,3.80
3,2024-03-04,42,152,3.62
4,2024-03-05,54,190,3.52
5,2024-03-06,49,157,3.20
6,2024-03-07,50,183,3.66
7,2024-03-08,40,154,3.85
8,2024-03-09,47,188,4.00
9,2024-03-10,46,160,3.48
10,2024-03-11,46,147,3.20
11,2024-03-12,46,147,3.20
12,2024-03-13,45,148,3.29
13,2024-03-14,43,163,3.79
14,2024-03-15,41,132,3.22
15,2024-03-16,38,124,3.26
16,2024-03-17,47,155,3.30
17,2024-03-18,51,173,3.39
18,2024-03-19,42,146,3.48
19,2024-03-20,47,174,3.70
20,2024-03-21,49,169,3.45
21,2024-03-22,44,163,3.70
22,2024-03-23,46,169,3.67
23,2024-03-24,32,123,3.84
24,2024-03-25,49,184,3.76
25,2024-03-26,34,130,3.82
26,2024-03-27,52,173,3.33
27,2024-03-28,51,216,4.24
28,2024-03-29,49,168,3.43
29,2024-03-30,46,150,3.26
30,2024-03-31,35,120,3.43
31,2024-04-01,50,165,3.30
32,2024-04-02,58,212,3.66
33,2024-04-03,53,193,3.64
34,2024-04-04,46,170,3.70
35,2024-04-05,53,183,3.45
36,2024-04-06,44,150,3.41
37,2024-04-07,37,148,4.00
38,2024-04-08,39,131,3.36
39,2024-04-09,31,110,3.55
40,2024-04-10,30,114,3.80
41,2024-04-11,24,96,4.00
42,2024-04-12,27,104,3.85
43,2024-04-13,34,120,3.53
44,2024-04-14,27,103,3.81
45,2024-04-15,24,84,3.50
46,2024-04-16,35,127,3.63
47,2024-04-17,34,131,3.85
48,2024-04-18,33,129,3.91
49,2024-04-19,32,106,3.31
50,2024-04-20,37,134,3.62
51,2024-04-21,21,74,3.52
52,2024-04-22,27,108,4.00
53,2024-04-23,29,103,3.55
54,2024-04-24,39,147,3.77
55,2024-04-25,33,109,3.30
56,2024-04-26,53,178,3.36
57,2024-04-27,31,108,3.48
58,2024-04-28,32,117,3.66
59,2024-04-29,45,175,3.89
60,2024-04-30,54,196,3.63
61,2024-05-01,72,253,3.51
62,2024-05-02,56,213,3.80
63,2024-05-03,53,195,3.68
64,2024-05-04,42,157,3.74
65,2024-05-05,53,194,3.66
66,2024-05-06,51,215,4.22
67,2024-05-07,43,154,3.58
68,2024-05-08,58,194,3.06
69,2024-05-09,46,155,3.12
70,2024-05-10,42,136,2.89
71,2024-05-11,45,170,3.64
72,2024-05-12,27,101,3.74
73,2024-05-13,39,147,3.77
74,2024-05-14,44,161,3.66
75,2024-05-15,38,155,4.08
76,2024-05-16,36,137,3.81
77,2024-05-17,49,160,3.27
78,2024-05-18,25,83,3.32
79,2024-05-19,38,139,3.66
80,2024-05-20,44,157,3.57
81,2024-05-21,47,184,3.91
82,2024-05-22,44,171,3.89
83,2024-05-23,52,202,3.88
84,2024-05-24,34,137,4.03
85,2024-05-25,49,193,3.94
86,2024-05-26,41,163,3.98
87,2024-05-27,40,135,3.38
88,2024-05-28,41,155,3.78
89,2024-05-29,38,149,3.92
90,2024-05-30,38,128,3.37
91,2024-05-31,54,196,3.63
92,2024-06-01,57,228,4.00
93,2024-06-02,54,215,3.98
94,2024-06-03,42,130,3.10
95,2024-06-04,47,174,3.70
96,2024-06-05,69,260,3.77
97,2024-06-06,55,207,3.76
98,2024-06-07,56,213,3.80
99,2024-06-08,76,273,3.59
100,2024-06-09,47,185,3.94
101,2024-06-10,57,220,3.86
102,2024-06-11,53,198,3.74
103,2024-06-12,43,127,2.95
104,2024-06-13,55,196,3.56
105,2024-06-14,47,189,4.02
106,2024-06-15,54,222,4.11
107,2024-06-16,57,228,4.00
108,2024-06-17,27,106,3.93
109,2024-06-18,54,205,3.80
110,2024-06-19,69,263,3.81
111,2024-06-20,40,157,3.93
112,2024-06-21,23,71,3.09
113,2024-06-22,26,91,3.50
114,2024-06-23,24,97,4.04
115,2024-06-24,34,113,3.32
116,2024-06-25,61,227,3.72
117,2024-06-26,58,212,3.66
118,2024-06-27,45,179,3.98
119,2024-06-28,43,162,3.77
120,2024-06-29,54,203,3.76
121,2024-06-30,46,186,4.04
122,2024-07-01,50,167,3.34
123,2024-07-02,68,243,3.57
124,2024-07-03,46,161,3.50
125,2024-07-04,41,144,3.51
126,2024-07-05,58,217,3.74
127,2024-07-06,43,175,4.07
128,2024-07-07,49,180,3.67
129,2024-07-08,58,229,3.95
130,2024-07-09,31,108,3.48
131,2024-07-10,31,125,4.03
132,2024-07-11,45,139,3.09
133,2024-07-12,34,115,3.38
134,2024-07-13,27,74,2.74
135,2024-07-14,28,96,3.43
136,2024-07-15,38,120,3.16
137,2024-07-16,50,175,3.50
138,2024-07-17,40,134,3.35
139,2024-07-18,32,114,3.56
140,2024-07-19,36,122,3.39
141,2024-07-20,31,94,3.03
142,2024-07-21,34,125,3.68
143,2024-07-22,39,135,3.46
144,2024-07-23,39,125,3.21
145,2024-07-24,38,123,3.24
146,2024-07-25,34,127,3.74
147,2024-07-26,33,123,3.73
148,2024-07-27,24,87,3.63
149,2024-07-28,28,86,3.07
150,2024-07-29,29,97,3.34
151,2024-07-30,38,133,3.50
152,2024-07-31,35,105,3.00
153,2024-08-01,52,180,3.46
154,2024-08-02,32,116,3.63
155,2024-08-03,33,110,3.33
156,2024-08-04,29,114,3.93
157,2024-08-05,33,132,4.00
158,2024-08-06,43,120,2.79
159,2024-08-07,33,116,3.52
160,2024-08-08,27,82,3.04
161,2024-08-09,27,83,3.07
162,2024-08-10,44,138,3.14
