,Date,Total Responden,Total Rating,CSAT [Before],CSAT [After]
0,2024-03-01,59,196,3.32,3.68
1,2024-03-02,49,162,3.31,3.67
2,2024-03-03,40,152,3.80,3.95
3,2024-03-04,42,152,3.62,3.97
4,2024-03-05,54,190,3.52,3.65
5,2024-03-06,49,157,3.20,3.68
6,2024-03-07,50,183,3.66,4.00
7,2024-03-08,40,154,3.85,4.00
8,2024-03-09,47,188,4.00,4.20
9,2024-03-10,46,160,3.48,3.90
10,2024-03-11,46,147,3.20,3.33
11,2024-03-12,46,147,3.20,3.46
12,2024-03-13,45,148,3.29,3.58
13,2024-03-14,43,163,3.79,3.86
14,2024-03-15,41,132,3.22,3.28
15,2024-03-16,38,124,3.26,3.46
16,2024-03-17,47,155,3.30,3.89
17,2024-03-18,51,173,3.39,3.45
18,2024-03-19,42,146,3.48,3.67
19,2024-03-20,47,174,3.70,3.70
20,2024-03-21,49,169,3.45,3.67
21,2024-03-22,44,163,3.70,3.90
22,2024-03-23,46,169,3.67,3.81
23,2024-03-24,32,123,3.84,4.03
24,2024-03-25,49,184,3.76,3.91
25,2024-03-26,34,130,3.82,4.13
26,2024-03-27,52,173,3.33,3.47
27,2024-03-28,51,216,4.24,4.44
28,2024-03-29,49,168,3.43,3.70
29,2024-03-30,46,150,3.26,3.67
30,2024-03-31,35,120,3.43,3.83
31,2024-04-01,50,165,3.30,3.65
32,2024-04-02,58,212,3.66,3.81
33,2024-04-03,53,193,3.64,3.81
34,2024-04-04,46,170,3.70,3.76
35,2024-04-05,53,183,3.45,3.71
36,2024-04-06,44,150,3.41,3.52
37,2024-04-07,37,148,4.00,4.17
38,2024-04-08,39,131,3.36,3.68
39,2024-04-09,31,110,3.55,3.63
40,2024-04-10,30,114,3.80,4.00
41,2024-04-11,24,96,4.00,4.13
42,2024-04-12,27,104,3.85,4.21
43,2024-04-13,34,120,3.53,3.77
44,2024-04-14,27,103,3.81,4.17
45,2024-04-15,24,84,3.50,3.86
46,2024-04-16,35,127,3.63,3.81
47,2024-04-17,34,131,3.85,4.03
48,2024-04-18,33,129,3.91,4.17
49,2024-04-19,32,106,3.31,3.47
50,2024-04-20,37,134,3.62,3.91
51,2024-04-21,21,74,3.52,3.65
52,2024-04-22,27,108,4.00,4.39
53,2024-04-23,29,103,3.55,3.55
54,2024-04-24,39,147,3.77,4.16
55,2024-04-25,33,109,3.30,3.50
56,2024-04-26,53,178,3.36,3.40
57,2024-04-27,31,108,3.48,3.81
58,2024-04-28,32,117,3.66,4.19
59,2024-04-29,45,175,3.89,4.10
60,2024-04-30,54,196,3.63,3.66
61,2024-05-01,72,253,3.51,3.61
62,2024-05-02,56,213,3.80,3.91
63,2024-05-03,53,195,3.68,3.84
64,2024-05-04,42,157,3.74,3.92
65,2024-05-05,53,194,3.66,3.85
66,2024-05-06,51,215,4.22,4.40
67,2024-05-07,43,154,3.58,3.85
68,2024-05-08,58,194,3.06,3.47
69,2024-05-09,46,155,3.12,3.84
70,2024-05-10,42,136,2.89,3.61
71,2024-05-11,45,170,3.64,4.02
72,2024-05-12,27,101,3.74,4.22
73,2024-05-13,39,147,3.77,3.86
74,2024-05-14,44,161,3.66,3.85
75,2024-05-15,38,155,4.08,4.34
76,2024-05-16,36,137,3.81,3.91
77,2024-05-17,49,160,3.27,3.44
78,2024-05-18,25,83,3.32,3.39
79,2024-05-19,38,139,3.66,3.70
