,Score_date,Business Type,Main Category,Checking Result (Sub Category),Background detail- ID,Team/Category
0,2023-08-28,AFI,Customer,Not meet expectation,Check the remaining installment fund bill,Loan
1,2023-08-28,AFI,Customer,Not meet expectation,Credit limit is less than income,Submission of Limit/Credit Points
2,2023-08-28,AFI,Customer,Not meet expectation,Optional tenor akulaku paylatter,Akulaku Paylater
3,2023-08-28,ASI,Customer,Not meet expectation,Sell ​​products in Akulaku,Merchant Online
4,2023-08-28,ASI,Customer,Not meet expectation,How to use a voucher/coupon piece,Voucher
5,2023-08-28,AFI,Customer,Not meet expectation,How to pay for installment funds,Loan
6,2023-08-28,AFI,Customer,Not meet expectation,Installment Fund bill payment time,Installment/Payment Gateway
7,2023-08-28,AFI,Operational,Answers are out of sync,Payment constraints with OVO,Installment/Payment Gateway
8,2023-08-28,AFI,Operational,Classification details not match,Interest free advantage,Interest-Free Credit Limit
9,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,How to see interest free credit limits,Interest-Free Credit Limit
10,2023-08-28,AFI,SOP Improvement,Error in typing FAQ,Tidak bisa transaksi di  In-Store Installment,Akulaku Paylater
11,2023-08-28,AFI,Customer,Not meet expectation,Payment at pegipegi.com failed,Akulaku Paylater
12,2023-08-28,AFI,System,Robots don't show up,Bills appear double,Collection
13,2023-08-28,AFI,Customer,Not meet expectation,Problems paying bills through Neo Bank,Collection
14,2023-08-28,AFI,Operational,Answers are out of sync,Installment Bill Next Month has not yet appeared,Installment/Payment Gateway
15,2023-08-28,AFI,Customer,Not meet expectation,Installment Bill Repayment Discount,Loan
16,2023-08-28,AFI,System,Robots don't show up,Suspicion of account abuse,Account Security
17,2023-08-28,AFI,System,Robots don't show up,Contacted on behalf of Akulaku,Account Security
18,2023-08-28,AFI,Customer,Not meet expectation,Payment Method in Akulaku,Installment/Payment Gateway
19,2023-08-28,AFI,Customer,Not meet expectation,Discount/Discount Fine,Collection
20,2023-08-28,AFI,Customer,Not meet expectation,Understanding Advances,Installment/Payment Gateway
21,2023-08-28,AFI,System,Robots don't show up,"Cancel orders, bills still appear",Installment/Payment Gateway
22,2023-08-28,AFI,System,Robots don't show up,Payment to the field collector but not yet updated,Collection
23,2023-08-28,AFI,Customer,Not meet expectation,Request for Bill Payment Code,Installment/Payment Gateway
24,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Notification of Installment Bill Payment,Installment/Payment Gateway
25,2023-08-28,AFI,Operational,No code in the conversation,How to pay a bill,Collection
26,2023-08-28,AFI,Customer,Not meet expectation,Pay for Bill without Interest,Installment/Payment Gateway
27,2023-08-28,ASI,Customer,Not meet expectation,Changes in telephone number,Data Change
28,2023-08-28,ASI,Customer,Not meet expectation,Global Buy - Estimated Delivery,Global Buy
29,2023-08-28,ASI,Customer,Not meet expectation,Official Store Products - Delivery Estimates,Produk Official Store
30,2023-08-28,ASI,Customer,Not meet expectation,Merchant Online - Delivery Complaints,Merchant Online
31,2023-08-28,ASI,System,Robots don't show up,"Why have you made a DP payment, the order was not sent",Merchant Online
32,2023-08-28,ASI,Operational,Answers are out of sync,Data Package Transactions Fail,Voucher
33,2023-08-28,ASI,SOP Improvement,FAQ Revision Q&A ,Top Up Data Package Wrong Number,Voucher
34,2023-08-28,ASI,Customer,Not meet expectation,Cancellation of PLN Transactions,Voucher
35,2023-08-28,ASI,Customer,Not meet expectation,How to purchase wifi id,Voucher
36,2023-08-28,ASI,System,Robots don't show up,Constraints of filling the token number,Voucher
37,2023-08-28,ASI,SOP Improvement,FAQ Revision Q&A ,The quota has not been received,Voucher
38,2023-08-28,ASI,Customer,Not meet expectation,Shop Search in Akulaku Application,Merchant Online
39,2023-08-28,ASI,Customer,Not meet expectation,Shop Search in Akulaku Application,Merchant Online
40,2023-08-28,AFI/ASI,SOP Improvement,FAQ Revision Q&A ,Small talk not identified,No Category
41,2023-08-28,ASI,Operational,Answers are out of sync,Obstacles do not accept OTP or blank when accessing BNC,Bug
42,2023-08-28,ASI,Customer,Issue not clear,Constraints Send screenshots,Bug
43,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,How to use akulaku credit limit,Submission of Limit/Credit Points
44,2023-08-28,AFI,SOP Improvement,Error in typing FAQ,Number of Tenor Akulaku Paylater,Akulaku Paylater
45,2023-08-28,AFI,Customer,Not meet expectation,Alfacard - Payment is not appropriate,Akulaku Paylater
46,2023-08-28,AFI,Operational,"Code removed, new submission",Cara bayar tagihan Lazada Paylater,Akulaku Paylater
47,2023-08-28,ASI,SOP Improvement,Error in typing FAQ,Kendala Akulaku Paylater ,Bug
48,2023-08-28,AFI,Customer,Not meet expectation,DANA - How to Pay Bill,Akulaku Paylater
49,2023-08-28,ASI,SOP Improvement,Error in typing FAQ,Status pengiriman tidak sesuai,Merchant Online
50,2023-08-28,AFI,Customer,Not meet expectation,Gagal pengajuan Cari Danaku,Cari Danaku
51,2023-08-28,ASI,System,Robots don't show up,Status pesanan pulsa,Voucher
52,2023-08-28,AFI,SOP Improvement,Error in typing FAQ,How to Complete Credit Information Points,Submission of Limit/Credit Points
53,2023-08-28,AFI,Customer,Not meet expectation,Understanding credit points,Submission of Limit/Credit Points
54,2023-08-28,AFI,Customer,Not meet expectation,Regarding DP Rp. 0,Installment/Payment Gateway
55,2023-08-28,AFI,Operational,"Code removed, new submission",Raise credit limits,Submission of Limit/Credit Points
56,2023-08-28,AFI,Customer,Not meet expectation,Installment tenor information,Installment/Payment Gateway
57,2023-08-28,ASI,SOP Improvement,FAQ Revision Q&A ,Loan application verification status,Loan
58,2023-08-28,AFI,Customer,Not meet expectation,"Submission of credit limit rejected notif ""NIK has been registered""",Loan
59,2023-08-28,AFI,Customer,Not meet expectation,Loan Disbursement with E-Wallet,Loan
60,2023-08-28,AFI,Customer,Not meet expectation,Check the remaining loan bill,Loan
61,2023-08-28,AFI,Operational,Answers are out of sync,How to increase loan limit,Loan
62,2023-08-28,AFI,Customer,Not meet expectation,"The loan is rejected notif ""not paying on time""",Loan
63,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,How to check credit limits,Submission of Limit/Credit Points
