,Connected to robot,Number of exit queues,Transfer amount to CS,Total handle robot,Robot handle ratio,Robot actual completion ratio,Robot Success ratio,Date
0,321,25,182,139,43.3,35.51,31.0,2022-05-20
1,1521,80,902,619,40.7,35.44,34.0,2022-05-21
2,2728,100,1570,1158,42.45,38.78,37.0,2022-05-22
3,4424,276,2568,1856,41.95,35.71,33.0,2022-05-23
4,6405,540,3378,3027,47.26,38.83,36.0,2022-05-24
5,8116,651,4322,3794,46.75,38.73,34.0,2022-05-25
6,8599,574,4599,4000,46.52,39.84,37.0,2022-05-26
7,8437,451,4685,3752,44.47,39.13,36.0,2022-05-27
8,7958,526,4285,3673,46.15,39.55,37.0,2022-05-28
9,7833,473,4121,3712,47.39,41.35,38.0,2022-05-29
10,8392,254,5059,3333,39.72,36.69,35.0,2022-05-30
11,9136,521,5278,3858,42.23,36.53,34.0,2022-05-31
12,9820,876,5117,4703,47.89,38.97,35.0,2022-06-01
13,10958,1002,5757,5201,47.46,38.32,34.0,2022-06-02
14,10714,850,6022,4692,43.79,35.86,33.0,2022-06-03
15,9081,246,5386,3695,40.69,37.98,36.0,2022-06-04
16,8802,95,5349,3453,39.23,38.15,37.0,2022-06-05
17,9411,122,5898,3513,37.33,36.03,35.0,2022-06-06
18,9474,74,6055,3419,36.09,35.31,35.0,2022-06-07
19,9450,126,5730,3720,39.37,38.03,36.0,2022-06-08
20,10002,137,6272,3730,37.29,35.92,35.0,2022-06-09
21,10655,237,6502,4153,38.98,36.75,34.0,2022-06-10
22,10991,283,6417,4574,41.62,39.04,38.0,2022-06-11
23,9993,130,6070,3923,39.26,37.96,37.0,2022-06-12
24,10390,215,6573,3817,36.74,34.67,35.0,2022-06-13
25,9994,198,6253,3741,37.43,35.45,35.0,2022-06-14
26,9607,110,5905,3702,38.53,37.39,37.0,2022-06-15
27,10134,277,7233,2901,28.63,25.89,26.0,2022-06-16
28,11798,482,8245,3553,30.12,26.03,26.0,2022-06-17
29,10375,77,7389,2986,28.78,28.04,28.0,2022-06-18
30,10203,27,7189,3014,29.54,29.28,29.0,2022-06-19
31,13977,1190,8937,5040,36.06,27.55,27.0,2022-06-20
32,16389,1657,10163,6226,37.99,27.88,28.0,2022-06-21
33,15499,1416,9795,5704,36.8,27.67,27.0,2022-06-22
34,15214,1352,9596,5618,36.93,28.04,28.0,2022-06-23
35,16619,1492,10638,5981,35.99,27.01,27.0,2022-06-24
36,18999,2542,11639,7360,38.74,25.36,25.0,2022-06-25
37,17559,2273,10550,7009,39.92,26.97,27.0,2022-06-26
38,16689,1573,10574,6115,36.64,27.22,27.0,2022-06-27
39,16845,1606,10630,6215,36.9,27.36,27.0,2022-06-28
40,16319,1455,10429,5890,36.09,27.18,27.0,2022-06-29
41,17520,1850,10862,6658,38.0,27.44,27.0,2022-06-30
42,21091,3106,11981,9110,43.19,28.47,28.0,2022-07-01
43,18055,2327,10777,7278,40.31,27.42,27.0,2022-07-02
44,17339,1935,10375,6964,40.16,29.0,29.0,2022-07-03
45,18072,1955,10892,7180,39.73,28.91,29.0,2022-07-04
46,19072,2274,11132,7940,41.63,29.71,29.0,2022-07-05
47,17874,1857,10866,7008,39.21,28.82,29.0,2022-07-06
48,17992,1579,11018,6974,38.76,29.99,30.0,2022-07-07
49,17299,1669,10436,6863,39.67,30.02,30.0,2022-07-08
50,16058,1415,9735,6323,39.38,30.56,30.0,2022-07-09
51,15373,1448,9328,6045,39.32,29.9,30.0,2022-07-10
52,19394,1857,11634,7760,40.01,30.44,30.0,2022-07-11
53,17917,1567,11025,6892,38.47,29.72,30.0,2022-07-12
54,16777,1291,10478,6299,37.55,29.85,30.0,2022-07-13
55,17536,1387,10836,6700,38.21,30.3,30.0,2022-07-14
56,16876,1257,10505,6371,37.75,30.3,30.0,2022-07-15
57,15662,1219,9695,5967,38.1,30.32,30.0,2022-07-16
58,15293,1170,9363,5930,38.78,31.13,31.0,2022-07-17
59,16544,1136,10449,6095,36.84,29.97,30.0,2022-07-18
60,15804,951,10235,5569,35.24,29.22,29.0,2022-07-19
61,16897,1030,10635,6262,37.06,30.96,31.0,2022-07-20
62,15859,1059,10432,5427,34.22,27.54,28.0,2022-07-21
63,14409,629,9915,4494,31.19,26.82,27.0,2022-07-22
64,14148,765,9667,4481,31.67,26.27,26.0,2022-07-23
65,14008,696,9548,4460,31.84,26.87,27.0,2022-07-24
66,16761,1038,11461,5300,31.62,25.43,26.0,2022-07-25
67,16644,1102,11232,5412,32.52,25.9,26.0,2022-07-26
68,16639,940,11328,5311,31.92,26.27,26.0,2022-07-27
69,16988,1100,11498,5490,32.32,25.84,26.0,2022-07-28
70,16828,1273,11406,5422,32.22,24.66,25.0,2022-07-29
71,15348,1070,10331,5017,32.69,25.72,26.0,2022-07-30
72,14632,693,10051,4581,31.31,26.57,27.0,2022-07-31
73,17193,1327,11548,5645,32.83,25.11,25.0,2022-08-01
74,17465,1321,11685,5780,33.09,25.53,26.0,2022-08-02
75,16251,1238,11048,5203,32.02,24.4,25.0,2022-08-03
76,15668,918,10806,4862,31.03,25.17,25.0,2022-08-04
77,15036,1005,10461,4575,30.43,23.74,24.0,2022-08-05
78,14360,959,9881,4479,31.19,24.51,25.0,2022-08-06
79,13513,715,9312,4201,31.09,25.8,26.0,2022-08-07
80,15192,1009,10390,4802,31.61,24.97,25.0,2022-08-08
81,14869,1008,10166,4703,31.63,24.85,25.0,2022-08-09
