Putaran,Pilihan,Kode,Skenario,Kondisi,Solusi,Skrip CS,Skrip Eskalasi,Parent
1,①,3.1,Pengumuman Pembaruan Sistem,"Pengguna memilih ""Muncul Pengumuman Pembaruan Sistem""",Sarankan pengguna untuk memperbarui aplikasi Akulaku ke versi terbaru,"Berdasarkan notifikasi yang Anda laporkan, kami sarankan Anda untuk memperbarui aplikasi Akulaku.",,
1,②,3.2,Halaman Kosong,"Pengguna memilih ""Halaman kosong""","1. Pastikan jaringan stabil, disarankan menggunakan data seluler daripada WiFi; 2. Logout dan login kembali ke aplikasi; 3. Hapus cache aplikasi (Menu Akun → Ikon Gear → Hapus Cache)","Kami sarankan Anda untuk: 1) Pastikan jaringan stabil, disarankan menggunakan data seluler; 2) Logout dan login kembali; 3) Hapus cache aplikasi (Menu Akun → Ikon Gear → Hapus Cache). Semoga setelah melakukan langkah-langkah tersebut, limit PayLater dapat digunakan dengan normal.",,
1,③,3.2,Gangguan Jaringan Kula,"Pengguna memilih ""Muncul Kula tidak ingin kehilangan kontak dengan Anda""","1. Pastikan jaringan stabil, disarankan menggunakan data seluler daripada WiFi; 2. Logout dan login kembali ke aplikasi; 3. Hapus cache aplikasi (Menu Akun → Ikon Gear → Hapus Cache)","Kami sarankan Anda untuk: 1) Pastikan jaringan stabil, disarankan menggunakan data seluler; 2) Logout dan login kembali; 3) Hapus cache aplikasi (Menu Akun → Ikon Gear → Hapus Cache). Semoga setelah melakukan langkah-langkah tersebut, limit PayLater dapat digunakan dengan normal.",,
1,④,3.3,Limit Tidak Cukup,"Pengguna memilih ""Pemberitahuan limit tidak cukup, tidak dapat digunakan""","Informasikan bahwa limit yang tersedia harus mencakup harga produk + biaya admin + bunga, dan arahkan untuk meningkatkan limit","Anda dapat menyesuaikan penggunaan limit PayLater, pastikan mencakup harga produk yang ingin dibeli serta biaya admin dan bunga. Anda juga dapat merujuk langkah-langkah berikut untuk meningkatkan limit melalui otorisasi akun: 1. Buka halaman PayLater; 2. Klik ""Limit Tersedia""; 3. Di ""Pusat Peningkatan Limit"", pilih item otorisasi: Verifikasi Laporan Pajak, Isi Kartu Bank, Isi Informasi Perusahaan, Isi Email Perusahaan, Isi Informasi SIM, Isi NPWP, Perbarui Kontak Darurat; 4. Lengkapi pengisian data yang diperlukan. Mohon diketahui bahwa persetujuan pengajuan limit adalah operasi sistem, kami tidak dapat melakukan penyesuaian.",,
1,⑤,3.4,Tidak Mendukung Cicilan Produk Fisik,"Pengguna memilih ""Tidak dapat menggunakan cicilan untuk membeli produk fisik""","Informasikan bahwa produk/merchant tersebut tidak mendukung cicilan PayLater, sarankan menggunakan metode pembayaran lain","Produk/merchant ini tidak mendukung cicilan PayLater, kami sarankan Anda menggunakan metode pembayaran lain.",,
1,⑥,3.4,Produk Tidak Bisa Dicicil,"Pengguna memilih ""Produk yang dipilih saat ini tidak dapat menggunakan cicilan""","Informasikan bahwa produk/merchant tersebut tidak mendukung cicilan PayLater, sarankan menggunakan metode pembayaran lain","Produk/merchant ini tidak mendukung cicilan PayLater, kami sarankan Anda menggunakan metode pembayaran lain.",,
1,⑦,3.10,Produk Virtual E-Wallet,"Pengguna memilih ""Tidak dapat membeli produk virtual e-wallet""","Informasikan bahwa metode cicilan PayLater saat ini tidak mendukung pembelian produk e-wallet, sarankan menggunakan metode pembayaran lain","Metode cicilan Akulaku PayLater saat ini tidak mendukung pembelian produk e-wallet. Kami sarankan Anda menggunakan metode pembayaran lain yang tersedia.",,
1,⑧,3.11,Transaksi Gagal,"Pengguna memilih ""Pemberitahuan Transaksi Gagal""",Lanjut ke Tab Pilihan Tingkat 2 (Putaran 2),"Silakan pilih masalah yang Anda alami dari pilihan berikut: A) Limit tidak cukup; B) Limit cukup tidak dapat digunakan; C) Pembelian berulang pada waktu yang sama; D) Lainnya",,
2,A,3.12,Limit Tidak Cukup (dari Transaksi Gagal),Pengguna memilih ⑧ lalu A: Limit tidak cukup,Arahkan pengguna untuk menyesuaikan penggunaan limit dan berikan panduan operasi peningkatan limit,"Anda dapat menyesuaikan penggunaan limit PayLater, pastikan mencakup harga produk yang ingin dibeli serta biaya admin dan bunga. Anda juga dapat merujuk langkah-langkah berikut untuk meningkatkan limit melalui otorisasi akun: 1. Buka halaman PayLater; 2. Klik ""Limit Tersedia""; 3. Di ""Pusat Peningkatan Limit"", pilih item otorisasi: Verifikasi Laporan Pajak, Isi Kartu Bank, Isi Informasi Perusahaan, Isi Email Perusahaan, Isi Informasi SIM, Isi NPWP, Perbarui Kontak Darurat; 4. Lengkapi pengisian data yang diperlukan. Mohon diketahui bahwa persetujuan pengajuan limit adalah operasi sistem, kami tidak dapat melakukan penyesuaian.",,⑧
2,B,3.15-3.17,Limit Cukup Tapi Tidak Bisa Digunakan,Pengguna memilih ⑧ lalu B: Limit cukup tidak dapat digunakan,Lanjut ke Tab Pilihan Tingkat 3 (Putaran 3) — cek tagihan,"Apakah saat ini Anda memiliki tagihan yang sedang berjalan di platform/aplikasi lain? Termasuk tagihan di Akulaku? Pilihan 1: Tidak ada tidak pernah terlambat bayar; Pilihan 2: Ada tagihan di platform Akulaku; Pilihan 3: Ada tagihan di platform eksternal",,⑧
